Comp.1;Comp.2;Comp.3;Comp.4;Comp.5;Comp.6;Comp.7;Comp.8;Comp.9;Comp.10;Comp.11;Comp.12
134;0.581;0.266;-0.537;0.025;-0.256;-0.008;0.017;-0.021;-0.031;0.033;0.016;0
135;1.956;-1.033;-0.007;-0.198;0.035;0.163;0.02;-0.059;0.091;0.023;-0.032;-0.005
136;-3.66;1.068;-0.422;-0.138;-0.064;0.072;0.07;0.003;-0.001;0.011;-0.024;-0.005
139;3.389;-0.087;0.078;0.444;0.018;0.042;-0.042;-0.047;-0.003;0.028;0.011;0.01
140;-1.309;-0.423;0.3;-0.283;-0.003;-0.121;0.037;0.035;-0.028;-0.012;0.002;-0.01
141;1.066;-0.112;0.268;-0.521;0.08;0.07;-0.024;-0.041;0.02;0.013;-0.009;0.001
142;-3.452;2.068;0.728;0.222;0.151;0.171;0.005;0.05;0.01;-0.029;0.032;-0.009
144;-3.365;-0.183;-0.039;-0.105;-0.061;-0.047;-0.026;-0.05;-0.015;-0.005;0.016;-0.003
145;1.592;1.269;-0.593;-0.12;0.193;-0.057;-0.028;-0.016;0.055;-0.016;-0.007;0.014
146;3.529;-0.344;0.141;0.394;-0.107;-0.021;0.011;-0.023;0.005;0.002;-0.006;0.006
